name,url,username,password,extra
Google,https://www.google.com/,user,aStrongPassword,
Facebook,https://www.facebook.com/,user,anotherVeryStrongPassword,
An item without a URL,,user,GREATPASSWORD,
An item with a query string,https://login.live.com/login,user,123456789,
An item without a password,http://www.website.com/,user,,
An item without a password or a url,,user,,
An item with email but without a username,https://www.anotherwebsite.com/,user@gmail.com,123456789,
Another Google account,https://www.google.com/,user,123456789,
An item with a username but without an email,https://www.twitter.com/,user,123456789,
Generated password for website1.com,https://www.website1.com/,user,123456,
إنشاء كلمة السر لـ website2com,https://www.website2.com/,user2,,
HTTPS website,https://website3.com/,user,123456,
HTTP website,http://www.website4.com/,user,123456,
Subdomain,http://domain.website5.com/,user,123456,
,,,,
